,date_time_slot,power_mw
997,11/04/2023      09:15 - 09:30,11.93
998,11/04/2023      09:30 - 09:45,12.9
999,11/04/2023      09:45 - 10:00,10.31
1000,11/04/2023      10:00 - 10:15,9.71
1001,11/04/2023      10:15 - 10:30,8.21
1002,11/04/2023      10:30 - 10:45,7.03
1003,11/04/2023      10:45 - 11:00,6.08
1004,11/04/2023      11:00 - 11:15,6.9
1005,11/04/2023      11:15 - 11:30,8.24
1006,11/04/2023      11:30 - 11:45,6.3
1007,11/04/2023      11:45 - 12:00,4.53
1008,11/04/2023      12:00 - 12:15,3.52
1009,11/04/2023      12:15 - 12:30,3.63
1010,11/04/2023      12:30 - 12:45,3.87
1011,11/04/2023      12:45 - 13:00,3.37
1012,11/04/2023      13:00 - 13:15,2.73
1013,11/04/2023      13:15 - 13:30,1.19
1014,11/04/2023      13:30 - 13:45,1.37
1015,11/04/2023      13:45 - 14:00,1.2
1016,11/04/2023      14:00 - 14:15,1.26
1017,11/04/2023      14:15 - 14:30,2.13
1018,11/04/2023      14:30 - 14:45,3.88
1019,11/04/2023      14:45 - 15:00,2.83
1020,11/04/2023      15:00 - 15:15,1.85
1021,11/04/2023      15:15 - 15:30,3.55
1022,11/04/2023      15:30 - 15:45,3.49
1023,11/04/2023      15:45 - 16:00,5.16
1024,11/04/2023      16:00 - 16:15,5.71
1025,11/04/2023      16:15 - 16:30,5.72
1026,11/04/2023      16:30 - 16:45,8.03
1027,11/04/2023      16:45 - 17:00,7.98
1028,11/04/2023      17:00 - 17:15,8.36
1029,11/04/2023      17:15 - 17:30,11.86
1030,11/04/2023      17:30 - 17:45,16.51
1031,11/04/2023      17:45 - 18:00,28.03
1032,11/04/2023      18:00 - 18:15,33.82
1033,11/04/2023      18:15 - 18:30,41.41
1034,11/04/2023      18:30 - 18:45,47.33
1035,11/04/2023      18:45 - 19:00,47.04
1036,11/04/2023      19:00 - 19:15,43.73
1037,11/04/2023      19:15 - 19:30,37.8
1038,11/04/2023      19:30 - 19:45,34.05
1039,11/04/2023      19:45 - 20:00,31.86
1040,11/04/2023      20:00 - 20:15,26.96
1041,11/04/2023      20:15 - 20:30,23.57
1042,11/04/2023      20:30 - 20:45,26.03
1043,11/04/2023      20:45 - 21:00,24.9
1044,11/04/2023      21:00 - 21:15,28.99
1045,11/04/2023      21:15 - 21:30,31.59
1046,11/04/2023      21:30 - 21:45,29.5
1047,11/04/2023      21:45 - 22:00,27.65
1048,11/04/2023      22:00 - 22:15,27.0
1049,11/04/2023      22:15 - 22:30,24.58
1050,11/04/2023      22:30 - 22:45,21.21
1051,11/04/2023      22:45 - 23:00,18.78
1052,11/04/2023      23:00 - 23:15,18.24
1053,11/04/2023      23:15 - 23:30,19.13
1054,11/04/2023      23:30 - 23:45,21.73
1055,11/04/2023      23:45 - 24:00,26.17
1056,12/04/2023      00:00 - 00:15,27.23
1057,12/04/2023      00:15 - 00:30,29.35
1058,12/04/2023      00:30 - 00:45,31.73
1059,12/04/2023      00:45 - 01:00,33.87
1060,12/04/2023      01:00 - 01:15,39.06
1061,12/04/2023      01:15 - 01:30,40.8
1062,12/04/2023      01:30 - 01:45,36.39
1063,12/04/2023      01:45 - 02:00,34.4
1064,12/04/2023      02:00 - 02:15,33.23
1065,12/04/2023      02:15 - 02:30,32.25
1066,12/04/2023      02:30 - 02:45,30.24
1067,12/04/2023      02:45 - 03:00,26.66
1068,12/04/2023      03:00 - 03:15,22.33
1069,12/04/2023      03:15 - 03:30,19.95
1070,12/04/2023      03:30 - 03:45,24.43
1071,12/04/2023      03:45 - 04:00,25.65
1072,12/04/2023      04:00 - 04:15,24.82
1073,12/04/2023      04:15 - 04:30,22.46
1074,12/04/2023      04:30 - 04:45,19.08
1075,12/04/2023      04:45 - 05:00,17.62
1076,12/04/2023      05:00 - 05:15,16.99
1077,12/04/2023      05:15 - 05:30,18.12
1078,12/04/2023      05:30 - 05:45,14.68
1079,12/04/2023      05:45 - 06:00,13.13
1080,12/04/2023      06:00 - 06:15,11.56
1081,12/04/2023      06:15 - 06:30,9.97
1082,12/04/2023      06:30 - 06:45,2.56
1083,12/04/2023      06:45 - 07:00,0.0
1084,12/04/2023      07:00 - 07:15,0.0
1085,12/04/2023      07:15 - 07:30,0.0
1086,12/04/2023      07:30 - 07:45,0.0
1087,12/04/2023      07:45 - 08:00,0.0
1088,12/04/2023      08:00 - 08:15,0.0
1089,12/04/2023      08:15 - 08:30,0.0
1090,12/04/2023      08:30 - 08:45,0.0
1091,12/04/2023      08:45 - 09:00,0.0
1092,12/04/2023      09:00 - 09:15,0.0
1093,12/04/2023      09:15 - 09:30,0.0
1094,12/04/2023      09:30 - 09:45,0.0
1095,12/04/2023      09:45 - 10:00,0.0
1096,12/04/2023      10:00 - 10:15,0.0
1097,12/04/2023      10:15 - 10:30,0.0
1098,12/04/2023      10:30 - 10:45,0.0
1099,12/04/2023      10:45 - 11:00,0.0
1100,12/04/2023      11:00 - 11:15,0.0
1101,12/04/2023      11:15 - 11:30,0.0
1102,12/04/2023      11:30 - 11:45,0.0
1103,12/04/2023      11:45 - 12:00,0.0
1104,12/04/2023      12:00 - 12:15,0.0
1105,12/04/2023      12:15 - 12:30,0.0
1106,12/04/2023      12:30 - 12:45,0.0
1107,12/04/2023      12:45 - 13:00,0.0
1108,12/04/2023      13:00 - 13:15,0.0
1109,12/04/2023      13:15 - 13:30,0.0
1110,12/04/2023      13:30 - 13:45,0.16
1111,12/04/2023      13:45 - 14:00,11.35
1112,12/04/2023      14:00 - 14:15,22.04
1113,12/04/2023      14:15 - 14:30,19.67
1114,12/04/2023      14:30 - 14:45,20.74
1115,12/04/2023      14:45 - 15:00,19.65
1116,12/04/2023      15:00 - 15:15,25.59
1117,12/04/2023      15:15 - 15:30,26.41
1118,12/04/2023      15:30 - 15:45,24.85
1119,12/04/2023      15:45 - 16:00,18.83
1120,12/04/2023      16:00 - 16:15,21.05
1121,12/04/2023      16:15 - 16:30,16.71
1122,12/04/2023      16:30 - 16:45,12.66
1123,12/04/2023      16:45 - 17:00,10.53
1124,12/04/2023      17:00 - 17:15,9.54
1125,12/04/2023      17:15 - 17:30,11.62
1126,12/04/2023      17:30 - 17:45,12.76
1127,12/04/2023      17:45 - 18:00,10.91
1128,12/04/2023      18:00 - 18:15,9.71
1129,12/04/2023      18:15 - 18:30,9.57
1130,12/04/2023      18:30 - 18:45,9.88
1131,12/04/2023      18:45 - 19:00,9.46
1132,12/04/2023      19:00 - 19:15,8.72
1133,12/04/2023      19:15 - 19:30,6.39
1134,12/04/2023      19:30 - 19:45,6.16
1135,12/04/2023      19:45 - 20:00,8.55
1136,12/04/2023      20:00 - 20:15,11.41
1137,12/04/2023      20:15 - 20:30,14.19
1138,12/04/2023      20:30 - 20:45,18.18
1139,12/04/2023      20:45 - 21:00,21.87
1140,12/04/2023      21:00 - 21:15,25.45
1141,12/04/2023      21:15 - 21:30,23.12
1142,12/04/2023      21:30 - 21:45,21.17
1143,12/04/2023      21:45 - 22:00,22.25
1144,12/04/2023      22:00 - 22:15,25.75
1145,12/04/2023      22:15 - 22:30,28.69
1146,12/04/2023      22:30 - 22:45,31.5
1147,12/04/2023      22:45 - 23:00,33.6
1148,12/04/2023      23:00 - 23:15,33.54
1149,12/04/2023      23:15 - 23:30,33.42
1150,12/04/2023      23:30 - 23:45,36.54
1151,12/04/2023      23:45 - 24:00,41.64
1152,13/04/2023      00:00 - 00:15,44.13
1153,13/04/2023      00:15 - 00:30,44.2
1154,13/04/2023      00:30 - 00:45,42.06
1155,13/04/2023      00:45 - 01:00,43.25
1156,13/04/2023      01:00 - 01:15,43.22
1157,13/04/2023      01:15 - 01:30,40.99
1158,13/04/2023      01:30 - 01:45,40.92
1159,13/04/2023      01:45 - 02:00,42.79
1160,13/04/2023      02:00 - 02:15,43.59
1161,13/04/2023      02:15 - 02:30,45.41
1162,13/04/2023      02:30 - 02:45,47.28
1163,13/04/2023      02:45 - 03:00,48.41
1164,13/04/2023      03:00 - 03:15,47.87
1165,13/04/2023      03:15 - 03:30,47.21
1166,13/04/2023      03:30 - 03:45,47.52
1167,13/04/2023      03:45 - 04:00,46.76
1168,13/04/2023      04:00 - 04:15,45.73
1169,13/04/2023      04:15 - 04:30,44.81
1170,13/04/2023      04:30 - 04:45,44.44
1171,13/04/2023      04:45 - 05:00,43.48
1172,13/04/2023      05:00 - 05:15,38.05
1173,13/04/2023      05:15 - 05:30,34.67
1174,13/04/2023      05:30 - 05:45,32.37
1175,13/04/2023      05:45 - 06:00,29.59
1176,13/04/2023      06:00 - 06:15,24.41
1177,13/04/2023      06:15 - 06:30,30.41
1178,13/04/2023      06:30 - 06:45,37.48
