date,HULL,OT
2022-03-08 00:00:00.00,0.8981,17.0
2022-03-08 00:30:00.00,0.8981,0.0
2022-03-08 00:45:00.00,0.8457,0.0
2022-03-08 01:00:00.00,0.8937,0.0
2022-03-08 01:15:00.00,0.8351,0.0
2022-03-08 01:30:00.00,0.8792,0.0
2022-03-08 01:45:00.00,0.8169,0.0
2022-03-08 02:00:00.00,0.8632,0.0
2022-03-08 02:15:00.00,0.8003,0.0
2022-03-08 02:30:00.00,0.8428,0.0
2022-03-08 02:45:00.00,0.7791,0.0
2022-03-08 03:00:00.00,0.8297,0.0
2022-03-08 03:15:00.00,0.7579,0.0
2022-03-08 03:30:00.00,0.8108,0.0
2022-03-08 03:45:00.00,0.7352,0.0
2022-03-08 04:00:00.00,0.7889,0.0
2022-03-08 04:15:00.00,0.7035,0.0
2022-03-08 04:30:00.00,0.7686,0.0
2022-03-08 04:45:00.00,0.6732,0.0
2022-03-08 05:00:00.00,0.7511,0.0
2022-03-08 05:15:00.00,0.6551,0.0
2022-03-08 05:30:00.00,0.7409,0.0
2022-03-08 05:45:00.00,0.6581,0.0
2022-03-08 06:00:00.00,0.7322,0.0
2022-03-08 06:15:00.00,0.6430,0.0
2022-03-08 06:30:00.00,0.7234,0.0
2022-03-08 06:45:00.00,0.6233,0.0
2022-03-08 07:00:00.00,0.7249,0.0
2022-03-08 07:15:00.00,0.6278,0.0
2022-03-08 07:30:00.00,0.7278,0.0
2022-03-08 07:45:00.00,0.7443,0.0
2022-03-08 08:00:00.00,0.7322,0.0
2022-03-08 08:15:00.00,0.6415,0.0
2022-03-08 08:30:00.00,0.7365,0.0
2022-03-08 08:45:00.00,0.8124,0.0
2022-03-08 09:15:00.00,0.8457,0.0
2022-03-08 09:30:00.00,0.7627,0.0
2022-03-08 09:45:00.00,0.7020,0.0
2022-03-08 10:15:00.00,0.7383,0.0
2022-03-08 10:30:00.00,0.7962,0.0
2022-03-08 10:45:00.00,0.9274,0.0
2022-03-08 11:00:00.00,0.9825,0.0
2022-03-08 11:15:00.00,1.0000,0.0
2022-03-08 11:30:00.00,1.0000,0.0
2022-03-08 11:45:00.00,0.7806,0.0
2022-03-08 12:00:00.00,0.8297,0.0
2022-03-08 12:15:00.00,0.7700,0.0
2022-03-08 12:30:00.00,0.8370,0.0
2022-03-08 12:45:00.00,0.7716,0.0
2022-03-08 13:00:00.00,0.8617,0.0
2022-03-08 13:15:00.00,0.8729,0.0
2022-03-08 13:30:00.00,0.9199,0.0
2022-03-08 13:45:00.00,0.7943,0.0
2022-03-08 14:00:00.00,0.8894,0.0
2022-03-08 14:15:00.00,0.7927,0.0
2022-03-08 14:30:00.00,0.8515,0.0
2022-03-08 14:45:00.00,0.7973,0.0
2022-03-08 15:00:00.00,0.9098,0.0
2022-03-08 15:15:00.00,0.7988,0.0
2022-03-08 15:30:00.00,0.8923,0.0
2022-03-08 15:45:00.00,0.8079,0.0
2022-03-08 16:00:00.00,0.8617,0.0
2022-03-08 16:15:00.00,0.8124,0.0
2022-03-08 16:30:00.00,0.8661,0.0
2022-03-08 16:45:00.00,0.8169,0.0
2022-03-08 17:00:00.00,0.8821,0.0
2022-03-08 17:15:00.00,0.8215,0.0
2022-03-08 17:45:00.00,0.8321,0.0
2022-03-08 20:00:00.00,0.9083,0.0
2022-03-08 20:15:00.00,0.8533,0.0
2022-03-08 20:30:00.00,0.9068,0.0
2022-03-08 20:45:00.00,0.8593,0.0
2022-03-08 21:00:00.00,0.9054,0.0
2022-03-08 21:15:00.00,0.8517,0.0
2022-03-08 21:30:00.00,0.9068,0.0
2022-03-08 21:45:00.00,0.8517,0.0
2022-03-08 22:00:00.00,0.9098,0.0
2022-03-08 22:15:00.00,0.8517,0.0
2022-03-08 22:30:00.00,0.9083,0.0
2022-03-08 22:45:00.00,0.8593,0.0
2022-03-08 23:00:00.00,0.9068,0.0
2022-03-08 23:15:00.00,0.8593,0.0
2022-03-08 23:30:00.00,0.9112,0.0
2022-03-08 23:45:00.00,0.8638,0.0
2022-03-08 08:59:00.00,0.7656,0.0
2022-03-08 10:01:00.00,0.8006,0.0
2022-03-09 00:00:00.00,0.8828,14.0
2022-03-09 00:15:00.00,0.8645,0.0
2022-03-09 00:30:00.00,0.8757,0.0
2022-03-09 00:45:00.00,0.8478,0.0
2022-03-09 01:00:00.00,0.8715,0.0
2022-03-09 01:15:00.00,0.8478,0.0
2022-03-09 01:30:00.00,0.8545,0.0
2022-03-09 01:45:00.00,0.8280,0.0
2022-03-09 02:00:00.00,0.8347,0.0
2022-03-09 02:15:00.00,0.8006,0.0
