date,Unnamed: 0,ajmer,barmer,jodhpur,bikaner,jalor,nagaur,hanumangarh
1970-01-01 00:00:00.019010922,263,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010923,264,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010924,265,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010925,266,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010926,267,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010927,268,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010928,269,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010929,270,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010930,271,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011001,272,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011002,273,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011003,274,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011004,275,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011005,276,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011006,277,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011007,278,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011008,279,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011009,280,0,10,0,0,0,0,0
1970-01-01 00:00:00.019011010,281,0,69,0,0,0,0,0
1970-01-01 00:00:00.019011011,282,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011012,283,0,5,0,0,0,0,0
1970-01-01 00:00:00.019011013,284,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011014,285,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011015,286,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011016,287,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011017,288,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011018,289,25,0,20,0,0,0,0
1970-01-01 00:00:00.019011019,290,127,0,0,0,0,0,0
1970-01-01 00:00:00.019011020,291,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011021,292,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011022,293,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011023,294,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011024,295,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011025,296,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011026,297,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011027,298,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011028,299,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011029,300,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011030,301,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011031,302,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011101,303,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011102,304,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011103,305,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011104,306,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011105,307,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011106,308,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011107,309,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011108,310,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011109,311,0,0,0,0,0,0,0
1970-01-01 00:00:00.019011110,312,0,0,0,0,0,0,0
